global_time_ms,event_type,task_name,block_name,trial_index_global,participant_id,group,timepoint,practice_layer,telemetry_version,block_type,event_value,prompt_level,support_level,support_rule,support_trigger_reason,rule_block_error_count,support_phase,support_faded_after_trial,error_type,message
3767.975,task_start,digit_span,,,045,Control,T1,standard,telemetry_v4,,,,,,,,,,,digit_span_task_start
6783.61,timing_drift,digit_span,practice_digitspan,1,045,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.627 ms
23645.819,timing_drift,digit_span,practice_digitspan,2,045,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.627 ms
34156.299,timing_drift,digit_span,practice_digitspan,3,045,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.627 ms
49650.305,timing_drift,digit_span,practice_digitspan,4,045,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.627 ms
61685.861,timing_drift,digit_span,practice_digitspan,5,045,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.627 ms
76017.723,timing_drift,digit_span,practice_digitspan,6,045,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.627 ms
99168.584,timing_drift,digit_span,formal_span_2,7,045,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.627 ms
115660.99,timing_drift,digit_span,formal_span_2,8,045,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.627 ms
133804.014,timing_drift,digit_span,formal_span_3,9,045,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.627 ms
136945.521,timing_drift,digit_span,formal_span_3,9,045,Control,T1,standard,telemetry_v4,,,,,,,,,,,wait drift=24.816 ms
168568.148,timing_drift,digit_span,formal_span_3,10,045,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.627 ms
190123.432,timing_drift,digit_span,formal_span_4,11,045,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.627 ms
272965.559,timing_drift,digit_span,formal_span_4,12,045,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.627 ms
277127.631,timing_drift,digit_span,formal_span_4,12,045,Control,T1,standard,telemetry_v4,,,,,,,,,,,wait drift=26.697 ms
327387.693,timing_drift,digit_span,formal_span_5,13,045,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.627 ms
367199.801,timing_drift,digit_span,formal_span_5,14,045,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.627 ms
435560.4,timing_drift,digit_span,formal_span_6,15,045,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.627 ms
441695.789,timing_drift,digit_span,formal_span_6,15,045,Control,T1,standard,telemetry_v4,,,,,,,,,,,wait drift=28.158 ms
463807.319,timing_drift,digit_span,formal_span_6,16,045,Control,T1,standard,telemetry_v4,,,,,,,,,,,fixation drift=-83.627 ms
500374.983,task_end,digit_span,formal_span_6,16,045,Control,T1,standard,telemetry_v4,,,,,,,,,,,digit_span_finished
503292.909,task_start,change_detection,,,045,Control,T1,standard,telemetry_v4,,,,,,,,,,,change_detection_task_start
557163.271,timing_drift,change_detection,practice_cd,6,045,Control,T1,standard,telemetry_v4,,,,,,,,,,,memory_array drift=-26.510 ms
562704.931,timing_drift,change_detection,practice_cd,7,045,Control,T1,standard,telemetry_v4,,,,,,,,,,,memory_array drift=-38.224 ms
