participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,intended_trial_start_ms,actual_trial_start_ms,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,response_correct,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,rt_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,repeated_audio_once_in_practice,stage_records_json,termination_reason,terminal_span_length
046,046_T1_20260518_155800,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,1,1,practice,span_2,1779091080,59.326,2026-05-18T16:05:20.062,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,433683.842,433805.72,2,1,1,"[6, 7]","[""7"", ""6""]","[""7"", ""6""]",76,onscreen_mouse,2794.487,4528.744,1,1,0,0,0,3,[751.885],,"[433807.413, 434867.356]","[""digit_6.wav"", ""digit_7.wav""]","[{""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 433807.413, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 434307.413}, {""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 434867.356, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 435367.356}]",,433783.842,433807.413,440539.211,2000,6731.798,440539.211,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 433683.842, ""actual_onset_global_ms"": 433805.72, ""actual_offset_global_ms"": 433822.576, ""actual_duration_ms"": 16.856}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 433783.842, ""actual_onset_global_ms"": 433807.413, ""actual_offset_global_ms"": 435367.356, ""actual_duration_ms"": 1559.943}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 435367.356, ""actual_onset_global_ms"": 435426.798, ""actual_offset_global_ms"": 435947.853, ""actual_duration_ms"": 521.055}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 435947.853, ""actual_onset_global_ms"": 436010.289, ""actual_offset_global_ms"": 440539.211, ""actual_duration_ms"": 4528.922}]",,
046,046_T1_20260518_155800,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,2,2,practice,span_2,1779091080,59.326,2026-05-18T16:05:26.923,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,440544.564,440677.083,2,2,1,"[7, 4]","[""4"", ""7""]","[""4"", ""7""]",47,onscreen_mouse,3016.186,5253.568,1,1,0,0,0,3,[1302.778],,"[440678.961, 441734.873]","[""digit_7.wav"", ""digit_4.wav""]","[{""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 440678.961, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 441178.961}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 441734.873, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 442234.873}]",,440644.564,440678.961,448122.906,2000,7443.945,448122.906,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 440544.564, ""actual_onset_global_ms"": 440677.083, ""actual_offset_global_ms"": 440693.939, ""actual_duration_ms"": 16.856}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 440644.564, ""actual_onset_global_ms"": 440678.961, ""actual_offset_global_ms"": 442234.873, ""actual_duration_ms"": 1555.912}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 442234.873, ""actual_onset_global_ms"": 442322.798, ""actual_offset_global_ms"": 442843.3, ""actual_duration_ms"": 520.502}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 442843.3, ""actual_onset_global_ms"": 442869.167, ""actual_offset_global_ms"": 448122.906, ""actual_duration_ms"": 5253.739}]",,
046,046_T1_20260518_155800,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,3,3,practice,span_2,1779091080,59.326,2026-05-18T16:05:34.508,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,448129.136,448268.862,2,3,1,"[7, 3]","[""3"", ""7""]","[""3"", ""7""]",37,onscreen_mouse,1619.607,3262.998,1,1,0,0,0,3,[871.618],,"[448271.756, 449327.775]","[""digit_7.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 448271.756, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 448771.756}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 449327.775, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 449827.775}]",,448229.136,448271.756,453671.587,2000,5399.831,453671.587,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 448129.136, ""actual_onset_global_ms"": 448268.862, ""actual_offset_global_ms"": 448285.718, ""actual_duration_ms"": 16.856}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 448229.136, ""actual_onset_global_ms"": 448271.756, ""actual_offset_global_ms"": 449827.775, ""actual_duration_ms"": 1556.019}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 449827.775, ""actual_onset_global_ms"": 449888.602, ""actual_offset_global_ms"": 450382.563, ""actual_duration_ms"": 493.961}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 450382.563, ""actual_onset_global_ms"": 450408.442, ""actual_offset_global_ms"": 453671.587, ""actual_duration_ms"": 3263.145}]",,
046,046_T1_20260518_155800,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,4,4,practice,span_2,1779091080,59.326,2026-05-18T16:05:40.057,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,453677.415,453849.891,2,4,1,"[1, 4]","[""4"", ""1""]","[""4"", ""1""]",41,onscreen_mouse,1303.557,2746.774,1,1,0,0,0,3,[418.01],,"[453852.74, 454895.701]","[""digit_1.wav"", ""digit_4.wav""]","[{""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 453852.74, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 454352.74}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 454895.701, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 455395.701}]",,453777.415,453852.74,458775.224,2000,4922.484,458775.224,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 453677.415, ""actual_onset_global_ms"": 453849.891, ""actual_offset_global_ms"": 453866.747, ""actual_duration_ms"": 16.856}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 453777.415, ""actual_onset_global_ms"": 453852.74, ""actual_offset_global_ms"": 455395.701, ""actual_duration_ms"": 1542.961}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 455395.701, ""actual_onset_global_ms"": 455469.654, ""actual_offset_global_ms"": 455997.393, ""actual_duration_ms"": 527.739}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 455997.393, ""actual_onset_global_ms"": 456028.211, ""actual_offset_global_ms"": 458775.224, ""actual_duration_ms"": 2747.013}]",,
046,046_T1_20260518_155800,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,5,5,practice,span_2,1779091080,59.326,2026-05-18T16:05:45.160,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,458781.105,458929.84,2,5,1,"[2, 9]","[""9"", ""2""]","[""9"", ""2""]",92,onscreen_mouse,2333.072,3796.792,1,1,0,0,0,3,[567.891],,"[458931.671, 460002.869]","[""digit_2.wav"", ""digit_9.wav""]","[{""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 458931.671, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 459431.671}, {""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 460002.869, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 460502.869}]",,458881.105,458931.671,465001.008,2000,6069.337,465001.008,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 458781.105, ""actual_onset_global_ms"": 458929.84, ""actual_offset_global_ms"": 458946.696, ""actual_duration_ms"": 16.856}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 458881.105, ""actual_onset_global_ms"": 458931.671, ""actual_offset_global_ms"": 460502.869, ""actual_duration_ms"": 1571.198}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 460502.869, ""actual_onset_global_ms"": 460684.604, ""actual_offset_global_ms"": 461193.898, ""actual_duration_ms"": 509.294}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 461193.898, ""actual_onset_global_ms"": 461203.985, ""actual_offset_global_ms"": 465001.008, ""actual_duration_ms"": 3797.023}]",,
046,046_T1_20260518_155800,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,6,6,practice,span_2,1779091080,59.326,2026-05-18T16:05:51.386,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,465006.644,465140.052,2,6,1,"[5, 7]","[""7"", ""5""]","[""7"", ""5""]",75,onscreen_mouse,3156.633,4859.637,1,1,0,0,0,3,[647.278],,"[465142.511, 466176.825]","[""digit_5.wav"", ""digit_7.wav""]","[{""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 465142.511, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 465642.511}, {""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 466176.825, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 466676.825}]",,465106.644,465142.511,472101.201,2000,6958.69,472101.201,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 465006.644, ""actual_onset_global_ms"": 465140.052, ""actual_offset_global_ms"": 465156.908, ""actual_duration_ms"": 16.856}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 465106.644, ""actual_onset_global_ms"": 465142.511, ""actual_offset_global_ms"": 466676.825, ""actual_duration_ms"": 1534.314}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 466676.825, ""actual_onset_global_ms"": 466711.021, ""actual_offset_global_ms"": 467214.122, ""actual_duration_ms"": 503.101}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 467214.122, ""actual_onset_global_ms"": 467241.382, ""actual_offset_global_ms"": 472101.201, ""actual_duration_ms"": 4859.819}]",,
046,046_T1_20260518_155800,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,1,7,formal,span_2,1779091080,59.326,2026-05-18T16:06:18.094,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,491716.132,491916.38,2,1,1,"[4, 5]","[""5"", ""4""]","[""5"", ""4""]",54,onscreen_mouse,2610.222,4103.574,1,1,0,0,0,3,[556.281],advance,"[491919.55, 492942.301]","[""digit_4.wav"", ""digit_5.wav""]","[{""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 491919.55, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 492419.55}, {""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 492942.301, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 493442.301}]",,491816.132,491919.55,498154.746,2000,6235.196,498154.746,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 491716.132, ""actual_onset_global_ms"": 491916.38, ""actual_offset_global_ms"": 491933.236, ""actual_duration_ms"": 16.856}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 491816.132, ""actual_onset_global_ms"": 491919.55, ""actual_offset_global_ms"": 493442.301, ""actual_duration_ms"": 1522.751}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 493442.301, ""actual_onset_global_ms"": 493506.126, ""actual_offset_global_ms"": 494030.706, ""actual_duration_ms"": 524.58}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 494030.706, ""actual_onset_global_ms"": 494051.037, ""actual_offset_global_ms"": 498154.746, ""actual_duration_ms"": 4103.709}]",two_failures_in_span,4.0
046,046_T1_20260518_155800,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,2,8,formal,span_2,1779091080,59.326,2026-05-18T16:06:24.539,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,498160.644,498373.747,2,2,1,"[1, 3]","[""3"", ""1""]","[""3"", ""1""]",31,onscreen_mouse,1727.612,3558.8,1,1,0,0,0,3,[866.53],advance,"[498379.429, 499395.068]","[""digit_1.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 498379.429, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 498879.429}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 499395.068, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 499895.068}]",,498260.644,498379.429,504083.842,2000,5704.413,504083.842,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 498160.644, ""actual_onset_global_ms"": 498373.747, ""actual_offset_global_ms"": 498390.603, ""actual_duration_ms"": 16.856}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 498260.644, ""actual_onset_global_ms"": 498379.429, ""actual_offset_global_ms"": 499895.068, ""actual_duration_ms"": 1515.639}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 499895.068, ""actual_onset_global_ms"": 499993.576, ""actual_offset_global_ms"": 500501.128, ""actual_duration_ms"": 507.552}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 500501.128, ""actual_onset_global_ms"": 500524.514, ""actual_offset_global_ms"": 504083.842, ""actual_duration_ms"": 3559.328}]",two_failures_in_span,4.0
046,046_T1_20260518_155800,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,1,9,formal,span_3,1779091080,59.326,2026-05-18T16:06:30.478,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,504099.606,504260.634,3,1,2,"[4, 1, 7]","[""7"", ""1"", ""4""]","[""7"", ""4"", ""1""]",741,onscreen_mouse,2389.345,4743.785,0,0,0,0,0,4,"[488.975, 763.928]",advance,"[504263.399, 505287.036, 506303.547]","[""digit_4.wav"", ""digit_1.wav"", ""digit_7.wav""]","[{""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 504263.399, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 504763.399}, {""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 505287.036, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 505787.036}, {""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 506303.547, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 506803.547}]",,504199.606,504263.399,512177.774,3000,7914.375,512177.774,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 504099.606, ""actual_onset_global_ms"": 504260.634, ""actual_offset_global_ms"": 504277.49, ""actual_duration_ms"": 16.856}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 504199.606, ""actual_onset_global_ms"": 504263.399, ""actual_offset_global_ms"": 506803.547, ""actual_duration_ms"": 2540.148}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 506803.547, ""actual_onset_global_ms"": 506887.669, ""actual_offset_global_ms"": 507406.95, ""actual_duration_ms"": 519.281}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 507406.95, ""actual_onset_global_ms"": 507433.826, ""actual_offset_global_ms"": 512177.774, ""actual_duration_ms"": 4743.948}]",two_failures_in_span,4.0
046,046_T1_20260518_155800,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,2,10,formal,span_3,1779091080,59.326,2026-05-18T16:06:38.567,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,512188.803,512382.941,3,2,2,"[2, 6, 9]","[""9"", ""6"", ""2""]","[""9"", ""6"", ""2""]",962,onscreen_mouse,2135.946,8769.553,1,1,0,0,0,4,"[4642.416, 966.633]",advance,"[512384.995, 513454.085, 514426.959]","[""digit_2.wav"", ""digit_6.wav"", ""digit_9.wav""]","[{""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 512384.995, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 512884.995}, {""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 513454.085, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 513954.085}, {""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 514426.959, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 514926.959}]",,512288.803,512384.995,524299.174,3000,11914.179,524299.174,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 512188.803, ""actual_onset_global_ms"": 512382.941, ""actual_offset_global_ms"": 512399.797, ""actual_duration_ms"": 16.856}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 512288.803, ""actual_onset_global_ms"": 512384.995, ""actual_offset_global_ms"": 514926.959, ""actual_duration_ms"": 2541.964}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 514926.959, ""actual_onset_global_ms"": 515024.051, ""actual_offset_global_ms"": 515499.608, ""actual_duration_ms"": 475.557}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 515499.608, ""actual_onset_global_ms"": 515528.864, ""actual_offset_global_ms"": 524299.174, ""actual_duration_ms"": 8770.31}]",two_failures_in_span,4.0
