global_time_ms,event_type,task_name,block_name,trial_index_global,participant_id,group,timepoint,practice_layer,telemetry_version,block_type,event_value,prompt_level,support_level,support_rule,support_trigger_reason,rule_block_error_count,support_phase,support_faded_after_trial,error_type,message
3588.669,task_start,flanker,,,050,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,flanker_task_start
47472.316,timing_drift,flanker,practice_single,1,050,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-18.028 ms
110376.174,timing_drift,flanker,practice_full,9,050,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=6.806 ms
229150.366,task_end,flanker,formal_block_2,52,050,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,flanker_finished
230241.796,task_start,dccs,,,050,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,dccs_task_start
257722.054,timing_drift,dccs,pre_switch_practice,1,050,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-48.168 ms
262277.761,info,dccs,color_adaptive_support,1,050,Control,T1,adaptive,telemetry_v4,practice,criterion_not_reached,1,1,color,criterion_not_reached,1,brief_rule_prompt,,,dccs_support_level_1:color:criterion_not_reached
265846.399,info,dccs,color_adaptive_support,2,050,Control,T1,adaptive,telemetry_v4,practice,color_rule_confusion,2,2,color,color_rule_confusion,2,worked_example,,,dccs_support_level_2:color:color_rule_confusion
265847.571,info,dccs,color_demo,,050,Control,T1,adaptive,telemetry_v4,practice,,,,,,,,,,dccs_demo_start:color:corrective
271545.384,info,dccs,color_demo,,050,Control,T1,adaptive,telemetry_v4,practice,,,,,,,,,,dccs_demo_end:color:corrective
275315.451,info,dccs,pre_switch_practice,3,050,Control,T1,adaptive,telemetry_v4,practice,recovered,,2,color,color_rule_confusion,,,True,,dccs_support_recovered:color:color_rule_confusion
298780.475,timing_drift,dccs,pre_switch_practice,9,050,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=219.170 ms
413176.376,task_end,dccs,mixed_formal,48,050,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,dccs_finished
