participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,intended_trial_start_ms,actual_trial_start_ms,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,response_correct,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,rt_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,repeated_audio_once_in_practice,stage_records_json,termination_reason,terminal_span_length
050,050_T1_20260520_150854,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,1,1,practice,span_2,1779260934,239.43,2026-05-20T15:13:16.966,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,260312.854,260412.158,2,1,1,"[1, 3]","[""3"", ""1""]","[""3"", ""1""]",31,keyboard,6444.892,8808.441,1,1,0,0,0,0,[662.382],,"[260500.635, 261504.254]","[""digit_1.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 260500.635, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 261000.635}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 261504.254, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 262004.254}]",,260412.854,260500.635,271381.12,2000,10880.485,271381.12,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 260312.854, ""actual_onset_global_ms"": 260412.158, ""actual_offset_global_ms"": 260503.169, ""actual_duration_ms"": 91.011}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 260412.854, ""actual_onset_global_ms"": 260500.635, ""actual_offset_global_ms"": 262004.254, ""actual_duration_ms"": 1503.619}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 262004.254, ""actual_onset_global_ms"": 262059.866, ""actual_offset_global_ms"": 262544.324, ""actual_duration_ms"": 484.458}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 262544.324, ""actual_onset_global_ms"": 262572.545, ""actual_offset_global_ms"": 271381.12, ""actual_duration_ms"": 8808.575}]",,
050,050_T1_20260520_150854,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,2,2,practice,span_2,1779260934,239.43,2026-05-20T15:13:28.037,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,271383.257,271469.096,2,2,1,"[2, 3]","[""3"", ""2""]","[""3"", ""2""]",32,keyboard,4589.762,6818.411,1,1,0,0,0,0,[507.582],,"[271556.014, 272560.808]","[""digit_2.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 271556.014, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 272056.014}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 272560.808, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 273060.808}]",,271483.257,271556.014,280448.842,2000,8892.828,280448.842,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 271383.257, ""actual_onset_global_ms"": 271469.096, ""actual_offset_global_ms"": 271558.928, ""actual_duration_ms"": 89.832}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 271483.257, ""actual_onset_global_ms"": 271556.014, ""actual_offset_global_ms"": 273060.808, ""actual_duration_ms"": 1504.794}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 273060.808, ""actual_onset_global_ms"": 273122.706, ""actual_offset_global_ms"": 273623.72, ""actual_duration_ms"": 501.014}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 273623.72, ""actual_onset_global_ms"": 273630.309, ""actual_offset_global_ms"": 280448.842, ""actual_duration_ms"": 6818.533}]",,
050,050_T1_20260520_150854,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,3,3,practice,span_2,1779260934,239.43,2026-05-20T15:13:37.104,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,280450.919,280531.599,2,3,1,"[2, 8]","[""8"", ""2""]","[""8"", ""2""]",82,keyboard,9113.766,10573.28,1,1,0,0,0,0,[473.038],,"[280614.815, 281651.404]","[""digit_2.wav"", ""digit_8.wav""]","[{""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 280614.815, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 281114.815}, {""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 281651.404, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 282151.404}]",,280550.919,280614.815,293239.836,2000,12625.021,293239.836,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 280450.919, ""actual_onset_global_ms"": 280531.599, ""actual_offset_global_ms"": 280617.726, ""actual_duration_ms"": 86.127}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 280550.919, ""actual_onset_global_ms"": 280614.815, ""actual_offset_global_ms"": 282151.404, ""actual_duration_ms"": 1536.589}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 282151.404, ""actual_onset_global_ms"": 282164.576, ""actual_offset_global_ms"": 282663.026, ""actual_duration_ms"": 498.45}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 282663.026, ""actual_onset_global_ms"": 282666.445, ""actual_offset_global_ms"": 293239.836, ""actual_duration_ms"": 10573.391}]",,
050,050_T1_20260520_150854,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,4,4,practice,span_2,1779260934,239.43,2026-05-20T15:13:49.896,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,293241.967,293323.884,2,4,1,"[1, 5]","[""5"", ""1""]","[""5"", ""1""]",51,keyboard,6137.336,7916.975,1,1,0,0,0,0,[533.885],,"[293408.95, 294453.553]","[""digit_1.wav"", ""digit_5.wav""]","[{""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 293408.95, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 293908.95}, {""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 294453.553, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 294953.553}]",,293341.967,293408.95,303420.563,2000,10011.613,303420.563,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 293241.967, ""actual_onset_global_ms"": 293323.884, ""actual_offset_global_ms"": 293411.868, ""actual_duration_ms"": 87.984}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 293341.967, ""actual_onset_global_ms"": 293408.95, ""actual_offset_global_ms"": 294953.553, ""actual_duration_ms"": 1544.603}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 294953.553, ""actual_onset_global_ms"": 294994.738, ""actual_offset_global_ms"": 295497.763, ""actual_duration_ms"": 503.025}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 295497.763, ""actual_onset_global_ms"": 295503.276, ""actual_offset_global_ms"": 303420.563, ""actual_duration_ms"": 7917.287}]",,
050,050_T1_20260520_150854,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,5,5,practice,span_2,1779260934,239.43,2026-05-20T15:14:00.077,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,303422.643,303501.122,2,5,1,"[7, 2]","[""2"", ""7""]","[""2"", ""7""]",27,keyboard,8839.949,9960.197,1,1,0,0,0,0,[458.681],,"[303585.479, 304619.381]","[""digit_7.wav"", ""digit_2.wav""]","[{""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 303585.479, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 304085.479}, {""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 304619.381, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 305119.381}]",,303522.643,303585.479,315632.754,2000,12047.275,315632.754,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 303422.643, ""actual_onset_global_ms"": 303501.122, ""actual_offset_global_ms"": 303588.135, ""actual_duration_ms"": 87.013}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 303522.643, ""actual_onset_global_ms"": 303585.479, ""actual_offset_global_ms"": 305119.381, ""actual_duration_ms"": 1533.902}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 305119.381, ""actual_onset_global_ms"": 305169.334, ""actual_offset_global_ms"": 305666.425, ""actual_duration_ms"": 497.091}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 305666.425, ""actual_onset_global_ms"": 305672.45, ""actual_offset_global_ms"": 315632.754, ""actual_duration_ms"": 9960.304}]",,
050,050_T1_20260520_150854,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,6,6,practice,span_2,1779260934,239.43,2026-05-20T15:14:12.288,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,315635.147,315715.972,2,6,1,"[1, 4]","[""4"", ""1""]","[""4"", ""1""]",41,keyboard,5131.255,6141.898,1,1,0,0,0,0,[439.789],,"[315797.935, 316833.65]","[""digit_1.wav"", ""digit_4.wav""]","[{""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 315797.935, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 316297.935}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 316833.65, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 317333.65}]",,315735.147,315797.935,324033.575,2000,8235.64,324033.575,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 315635.147, ""actual_onset_global_ms"": 315715.972, ""actual_offset_global_ms"": 315800.01, ""actual_duration_ms"": 84.038}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 315735.147, ""actual_onset_global_ms"": 315797.935, ""actual_offset_global_ms"": 317333.65, ""actual_duration_ms"": 1535.715}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 317333.65, ""actual_onset_global_ms"": 317389.696, ""actual_offset_global_ms"": 317887.765, ""actual_duration_ms"": 498.069}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 317887.765, ""actual_onset_global_ms"": 317891.45, ""actual_offset_global_ms"": 324033.575, ""actual_duration_ms"": 6142.125}]",,
050,050_T1_20260520_150854,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,1,7,formal,span_2,1779260934,239.43,2026-05-20T15:14:26.111,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,329458.027,329544.18,2,1,1,"[7, 2]","[""2"", ""7""]","[""2"", ""7""]",27,keyboard,15020.777,16073.25,1,1,0,0,0,0,[529.721],advance,"[329630.015, 330640.186]","[""digit_7.wav"", ""digit_2.wav""]","[{""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 329630.015, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 330130.015}, {""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 330640.186, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 331140.186}]",,329558.027,329630.015,347768.217,2000,18138.202,347768.217,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 329458.027, ""actual_onset_global_ms"": 329544.18, ""actual_offset_global_ms"": 329632.778, ""actual_duration_ms"": 88.598}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 329558.027, ""actual_onset_global_ms"": 329630.015, ""actual_offset_global_ms"": 331140.186, ""actual_duration_ms"": 1510.171}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 331140.186, ""actual_onset_global_ms"": 331195.517, ""actual_offset_global_ms"": 331691.65, ""actual_duration_ms"": 496.133}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 331691.65, ""actual_onset_global_ms"": 331694.672, ""actual_offset_global_ms"": 347768.217, ""actual_duration_ms"": 16073.545}]",two_failures_in_span,3.0
050,050_T1_20260520_150854,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,2,8,formal,span_2,1779260934,239.43,2026-05-20T15:14:44.424,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,347770.735,347851.268,2,2,1,"[2, 5]","[""5"", ""2""]","[""5"", ""2""]",52,keyboard,1548.6,2532.752,1,1,0,0,0,0,[451.189],advance,"[347933.667, 348975.95]","[""digit_2.wav"", ""digit_5.wav""]","[{""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 347933.667, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 348433.667}, {""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 348975.95, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 349475.95}]",,347870.735,347933.667,352553.183,2000,4619.516,352553.183,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 347770.735, ""actual_onset_global_ms"": 347851.268, ""actual_offset_global_ms"": 347936.429, ""actual_duration_ms"": 85.161}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 347870.735, ""actual_onset_global_ms"": 347933.667, ""actual_offset_global_ms"": 349475.95, ""actual_duration_ms"": 1542.283}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 349475.95, ""actual_onset_global_ms"": 349510.794, ""actual_offset_global_ms"": 350014.584, ""actual_duration_ms"": 503.79}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 350014.584, ""actual_onset_global_ms"": 350020.231, ""actual_offset_global_ms"": 352553.183, ""actual_duration_ms"": 2532.952}]",two_failures_in_span,3.0
050,050_T1_20260520_150854,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,1,9,formal,span_3,1779260934,239.43,2026-05-20T15:14:49.211,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,352557.38,352642.488,3,1,2,"[5, 7, 2]","[""2"", ""7"", ""5""]","[""7"", ""5"", ""2""]",752,keyboard,1265.154,3885.842,0,0,0,0,0,0,"[1353.826, 724.448]",terminate,"[352769.176, 353799.386, 354800.348]","[""digit_5.wav"", ""digit_7.wav"", ""digit_2.wav""]","[{""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 352769.176, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 353269.176}, {""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 353799.386, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 354299.386}, {""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 354800.348, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 355300.348}]",,352657.38,352769.176,359717.692,3000,6948.516,359717.692,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 352557.38, ""actual_onset_global_ms"": 352642.488, ""actual_offset_global_ms"": 352771.849, ""actual_duration_ms"": 129.361}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 352657.38, ""actual_onset_global_ms"": 352769.176, ""actual_offset_global_ms"": 355300.348, ""actual_duration_ms"": 2531.172}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 355300.348, ""actual_onset_global_ms"": 355324.929, ""actual_offset_global_ms"": 355826.798, ""actual_duration_ms"": 501.869}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 355826.798, ""actual_onset_global_ms"": 355831.671, ""actual_offset_global_ms"": 359717.692, ""actual_duration_ms"": 3886.021}]",two_failures_in_span,3.0
050,050_T1_20260520_150854,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,2,10,formal,span_3,1779260934,239.43,2026-05-20T15:14:56.374,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,359720.164,359798.47,3,2,2,"[8, 9, 4]","[""4"", ""9"", ""8""]","[""9"", ""8"", ""4""]",984,keyboard,1723.798,4652.949,0,0,0,0,0,0,"[987.485, 1275.356]",terminate,"[359880.121, 360880.997, 361882.347]","[""digit_8.wav"", ""digit_9.wav"", ""digit_4.wav""]","[{""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 359880.121, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 360380.121}, {""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 360880.997, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 361380.997}, {""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 361882.347, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 362382.347}]",,359820.164,359880.121,367574.498,3000,7694.377,367574.498,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 359720.164, ""actual_onset_global_ms"": 359798.47, ""actual_offset_global_ms"": 359882.974, ""actual_duration_ms"": 84.504}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 359820.164, ""actual_onset_global_ms"": 359880.121, ""actual_offset_global_ms"": 362382.347, ""actual_duration_ms"": 2502.226}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 362382.347, ""actual_onset_global_ms"": 362415.806, ""actual_offset_global_ms"": 362917.133, ""actual_duration_ms"": 501.327}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 362917.133, ""actual_onset_global_ms"": 362921.432, ""actual_offset_global_ms"": 367574.498, ""actual_duration_ms"": 4653.066}]",two_failures_in_span,3.0
