participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms
050,050_T1_20260520_150854,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,1,1,practice,practice_single,1779260934,239.43,2026-05-20T15:09:21.138,0,0,0,1,24483.797,24511.96,practice_single,left,none,<,s,s,1,1573.051,26168.846,correct,,24583.797,24595.795,26168.846,3000,1573.051,26768.846,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 24483.797, ""actual_onset_global_ms"": 24511.96, ""actual_offset_global_ms"": 24591.499, ""actual_duration_ms"": 79.539}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 24583.797, ""actual_onset_global_ms"": 24595.795, ""actual_offset_global_ms"": 26168.846, ""actual_duration_ms"": 1573.051}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 26168.846, ""actual_onset_global_ms"": 26194.703, ""actual_offset_global_ms"": 26794.194, ""actual_duration_ms"": 599.491}]",correct.wav,26186.563,600.0,26786.563
050,050_T1_20260520_150854,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,2,2,practice,practice_single,1779260934,239.43,2026-05-20T15:09:23.446,0,0,0,1,26791.991,26796.308,practice_single,left,none,<,s,s,1,963.285,27860.609,correct,,26891.991,26897.324,27860.609,3000,963.285,28460.609,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 26791.991, ""actual_onset_global_ms"": 26796.308, ""actual_offset_global_ms"": 26897.061, ""actual_duration_ms"": 100.753}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 26891.991, ""actual_onset_global_ms"": 26897.324, ""actual_offset_global_ms"": 27860.609, ""actual_duration_ms"": 963.285}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 27860.609, ""actual_onset_global_ms"": 27867.291, ""actual_offset_global_ms"": 28471.298, ""actual_duration_ms"": 604.007}]",correct.wav,27863.108,600.0,28463.108
050,050_T1_20260520_150854,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,3,3,practice,practice_single,1779260934,239.43,2026-05-20T15:09:25.124,0,0,0,1,28470.739,28477.427,practice_single,right,none,>,j,j,1,631.612,29210.968,correct,,28570.739,28579.356,29210.968,3000,631.612,29810.968,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 28470.739, ""actual_onset_global_ms"": 28477.427, ""actual_offset_global_ms"": 28578.267, ""actual_duration_ms"": 100.84}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 28570.739, ""actual_onset_global_ms"": 28579.356, ""actual_offset_global_ms"": 29210.968, ""actual_duration_ms"": 631.612}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 29210.968, ""actual_onset_global_ms"": 29219.129, ""actual_offset_global_ms"": 29821.394, ""actual_duration_ms"": 602.265}]",correct.wav,29214.479,600.0,29814.479
050,050_T1_20260520_150854,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,4,4,practice,practice_single,1779260934,239.43,2026-05-20T15:09:26.473,0,0,0,1,29819.178,29823.382,practice_single,left,none,<,s,s,1,548.742,30474.202,correct,,29919.178,29925.46,30474.202,3000,548.742,31074.202,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 29819.178, ""actual_onset_global_ms"": 29823.382, ""actual_offset_global_ms"": 29925.179, ""actual_duration_ms"": 101.797}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 29919.178, ""actual_onset_global_ms"": 29925.46, ""actual_offset_global_ms"": 30474.202, ""actual_duration_ms"": 548.742}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 30474.202, ""actual_onset_global_ms"": 30480.888, ""actual_offset_global_ms"": 31081.693, ""actual_duration_ms"": 600.805}]",correct.wav,30476.846,600.0,31076.846
050,050_T1_20260520_150854,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,5,5,practice,practice_single,1779260934,239.43,2026-05-20T15:09:27.734,0,0,0,1,31079.527,31084.993,practice_single,right,none,>,j,j,1,545.429,31732.191,correct,,31179.527,31186.762,31732.191,3000,545.429,32332.191,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 31079.527, ""actual_onset_global_ms"": 31084.993, ""actual_offset_global_ms"": 31186.325, ""actual_duration_ms"": 101.332}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 31179.527, ""actual_onset_global_ms"": 31186.762, ""actual_offset_global_ms"": 31732.191, ""actual_duration_ms"": 545.429}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 31732.191, ""actual_onset_global_ms"": 31739.953, ""actual_offset_global_ms"": 32345.882, ""actual_duration_ms"": 605.929}]",correct.wav,31735.699,600.0,32335.699
050,050_T1_20260520_150854,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,6,6,practice,practice_single,1779260934,239.43,2026-05-20T15:09:28.997,0,0,0,1,32343.766,32348.002,practice_single,right,none,>,j,j,1,725.982,33176.728,correct,,32443.766,32450.746,33176.728,3000,725.982,33776.728,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 32343.766, ""actual_onset_global_ms"": 32348.002, ""actual_offset_global_ms"": 32449.729, ""actual_duration_ms"": 101.727}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 32443.766, ""actual_onset_global_ms"": 32450.746, ""actual_offset_global_ms"": 33176.728, ""actual_duration_ms"": 725.982}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 33176.728, ""actual_onset_global_ms"": 33184.165, ""actual_offset_global_ms"": 33786.446, ""actual_duration_ms"": 602.281}]",correct.wav,33180.025,600.0,33780.025
050,050_T1_20260520_150854,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,1,7,practice,congruent,1779260934,239.43,2026-05-20T15:09:49.763,0,0,0,1,53109.873,53116.535,congruent,left,left,<<<<<,s,s,1,3862.734,57078.586,correct,1.0,53209.873,53215.852,57078.586,3000,3862.734,57678.586,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 53109.873, ""actual_onset_global_ms"": 53116.535, ""actual_offset_global_ms"": 53214.275, ""actual_duration_ms"": 97.74}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 53209.873, ""actual_onset_global_ms"": 53215.852, ""actual_offset_global_ms"": 57078.586, ""actual_duration_ms"": 3862.734}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 57078.586, ""actual_onset_global_ms"": 57090.025, ""actual_offset_global_ms"": 57692.661, ""actual_duration_ms"": 602.636}]",correct.wav,57085.448,600.0,57685.448
050,050_T1_20260520_150854,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,2,8,practice,incongruent,1779260934,239.43,2026-05-20T15:09:54.344,0,0,0,1,57690.573,57696.036,incongruent,right,left,<<><<,j,s,0,5371.375,63169.143,incorrect,1.0,57790.573,57797.768,63169.143,3000,5371.375,63769.143,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 57690.573, ""actual_onset_global_ms"": 57696.036, ""actual_offset_global_ms"": 57796.034, ""actual_duration_ms"": 99.998}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 57790.573, ""actual_onset_global_ms"": 57797.768, ""actual_offset_global_ms"": 63169.143, ""actual_duration_ms"": 5371.375}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 63169.143, ""actual_onset_global_ms"": 63180.655, ""actual_offset_global_ms"": 63780.174, ""actual_duration_ms"": 599.519}]",incorrect.wav,63174.001,600.0,63774.001
050,050_T1_20260520_150854,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,3,9,practice,congruent,1779260934,239.43,2026-05-20T15:10:00.432,0,0,0,1,63778.227,63782.392,congruent,left,left,<<<<<,s,s,1,2643.265,66531.029,correct,1.0,63878.227,63887.764,66531.029,3000,2643.265,67131.029,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 63778.227, ""actual_onset_global_ms"": 63782.392, ""actual_offset_global_ms"": 63886.327, ""actual_duration_ms"": 103.935}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 63878.227, ""actual_onset_global_ms"": 63887.764, ""actual_offset_global_ms"": 66531.029, ""actual_duration_ms"": 2643.265}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 66531.029, ""actual_onset_global_ms"": 66538.487, ""actual_offset_global_ms"": 67138.338, ""actual_duration_ms"": 599.851}]",correct.wav,66533.15,600.0,67133.15
050,050_T1_20260520_150854,PA,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,4,10,practice,incongruent,1779260934,239.43,2026-05-20T15:10:03.789,0,0,0,1,67136.81,67143.482,incongruent,right,left,<<><<,j,j,1,1028.946,68275.899,correct,1.0,67236.81,67246.953,68275.899,3000,1028.946,68875.899,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 67136.81, ""actual_onset_global_ms"": 67143.482, ""actual_offset_global_ms"": 67244.654, ""actual_duration_ms"": 101.172}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 67236.81, ""actual_onset_global_ms"": 67246.953, ""actual_offset_global_ms"": 68275.899, ""actual_duration_ms"": 1028.946}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 68275.899, ""actual_onset_global_ms"": 68280.649, ""actual_offset_global_ms"": 68884.186, ""actual_duration_ms"": 603.537}]",correct.wav,68276.172,600.0,68876.172
