participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,excluded_rt_low,excluded_rt_high,included_in_rt_analysis,task_accuracy_below_threshold,valid_task_data
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,1,13,formal,incongruent,1779263294,240.492,2026-05-20T15:50:08.241,0,0,0,1,111817.097,111823.347,incongruent,left,right,>><>>,s,j,0,9176.035,121102.166,none,,111917.097,111926.131,121102.166,3000,9176.035,121102.166,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 111817.097, ""actual_onset_global_ms"": 111823.347, ""actual_offset_global_ms"": 111924.078, ""actual_duration_ms"": 100.731}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 111917.097, ""actual_onset_global_ms"": 111926.131, ""actual_offset_global_ms"": 121102.166, ""actual_duration_ms"": 9176.035}]",,,,,0,1,0,0,1
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,2,14,formal,incongruent,1779263294,240.492,2026-05-20T15:50:17.531,0,0,0,1,121107.325,121111.498,incongruent,left,right,>><>>,s,j,0,2385.866,123602.676,none,,121207.325,121216.81,123602.676,3000,2385.866,123602.676,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 121107.325, ""actual_onset_global_ms"": 121111.498, ""actual_offset_global_ms"": 121215.439, ""actual_duration_ms"": 103.941}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 121207.325, ""actual_onset_global_ms"": 121216.81, ""actual_offset_global_ms"": 123602.676, ""actual_duration_ms"": 2385.866}]",,,,,0,0,0,0,1
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,3,15,formal,incongruent,1779263294,240.492,2026-05-20T15:50:20.035,0,0,0,1,123611.82,123620.118,incongruent,right,left,<<><<,j,s,0,2722.881,126445.096,none,,123711.82,123722.215,126445.096,3000,2722.881,126445.096,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 123611.82, ""actual_onset_global_ms"": 123620.118, ""actual_offset_global_ms"": 123719.66, ""actual_duration_ms"": 99.542}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 123711.82, ""actual_onset_global_ms"": 123722.215, ""actual_offset_global_ms"": 126445.096, ""actual_duration_ms"": 2722.881}]",,,,,0,0,0,0,1
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,4,16,formal,congruent,1779263294,240.492,2026-05-20T15:50:22.873,0,0,0,1,126449.114,126453.189,congruent,right,right,>>>>>,j,s,0,2746.881,129305.387,none,,126549.114,126558.506,129305.387,3000,2746.881,129305.387,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 126449.114, ""actual_onset_global_ms"": 126453.189, ""actual_offset_global_ms"": 126557.039, ""actual_duration_ms"": 103.85}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 126549.114, ""actual_onset_global_ms"": 126558.506, ""actual_offset_global_ms"": 129305.387, ""actual_duration_ms"": 2746.881}]",,,,,0,0,0,0,1
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,5,17,formal,congruent,1779263294,240.492,2026-05-20T15:50:25.738,0,0,0,1,129314.059,129319.469,congruent,left,left,<<<<<,s,j,0,1933.712,131356.326,none,,129414.059,129422.614,131356.326,3000,1933.712,131356.326,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 129314.059, ""actual_onset_global_ms"": 129319.469, ""actual_offset_global_ms"": 129420.474, ""actual_duration_ms"": 101.005}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 129414.059, ""actual_onset_global_ms"": 129422.614, ""actual_offset_global_ms"": 131356.326, ""actual_duration_ms"": 1933.712}]",,,,,0,0,0,0,1
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,6,18,formal,incongruent,1779263294,240.492,2026-05-20T15:50:27.790,0,0,0,1,131366.527,131370.762,incongruent,right,left,<<><<,j,s,0,1580.434,133053.55,none,,131466.527,131473.116,133053.55,3000,1580.434,133053.55,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 131366.527, ""actual_onset_global_ms"": 131370.762, ""actual_offset_global_ms"": 131471.071, ""actual_duration_ms"": 100.309}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 131466.527, ""actual_onset_global_ms"": 131473.116, ""actual_offset_global_ms"": 133053.55, ""actual_duration_ms"": 1580.434}]",,,,,0,0,0,0,1
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,7,19,formal,incongruent,1779263294,240.492,2026-05-20T15:50:29.483,0,0,0,1,133059.624,133064.9,incongruent,left,right,>><>>,s,j,0,3132.427,136301.696,none,,133159.624,133169.269,136301.696,3000,3132.427,136301.696,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 133059.624, ""actual_onset_global_ms"": 133064.9, ""actual_offset_global_ms"": 133167.987, ""actual_duration_ms"": 103.087}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 133159.624, ""actual_onset_global_ms"": 133169.269, ""actual_offset_global_ms"": 136301.696, ""actual_duration_ms"": 3132.427}]",,,,,0,1,0,0,1
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,8,20,formal,congruent,1779263294,240.492,2026-05-20T15:50:32.731,0,0,0,1,136307.438,136313.014,congruent,right,right,>>>>>,j,j,1,5676.437,142093.361,none,,136407.438,136416.924,142093.361,3000,5676.437,142093.361,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 136307.438, ""actual_onset_global_ms"": 136313.014, ""actual_offset_global_ms"": 136415.282, ""actual_duration_ms"": 102.268}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 136407.438, ""actual_onset_global_ms"": 136416.924, ""actual_offset_global_ms"": 142093.361, ""actual_duration_ms"": 5676.437}]",,,,,0,1,0,0,1
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,9,21,formal,incongruent,1779263294,240.492,2026-05-20T15:50:38.526,0,0,0,1,142101.668,142105.903,incongruent,left,right,>><>>,s,s,1,2991.512,145199.777,none,,142201.668,142208.265,145199.777,3000,2991.512,145199.777,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 142101.668, ""actual_onset_global_ms"": 142105.903, ""actual_offset_global_ms"": 142206.151, ""actual_duration_ms"": 100.248}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 142201.668, ""actual_onset_global_ms"": 142208.265, ""actual_offset_global_ms"": 145199.777, ""actual_duration_ms"": 2991.512}]",,,,,0,0,1,0,1
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,10,22,formal,congruent,1779263294,240.492,2026-05-20T15:50:41.630,0,0,0,1,145206.338,145211.544,congruent,left,left,<<<<<,s,s,1,2327.848,147640.761,none,,145306.338,145312.913,147640.761,3000,2327.848,147640.761,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 145206.338, ""actual_onset_global_ms"": 145211.544, ""actual_offset_global_ms"": 145311.385, ""actual_duration_ms"": 99.841}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 145306.338, ""actual_onset_global_ms"": 145312.913, ""actual_offset_global_ms"": 147640.761, ""actual_duration_ms"": 2327.848}]",,,,,0,0,1,0,1
