participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,dccs_support_rule,dccs_error_type,dccs_dimension_highlight_used,dccs_demo_type,dccs_label_mode,dccs_post_support_rule_confusion,rule,cue_audio_file,cue_label,cue_audio_start_global_ms,cue_audio_expected_duration_ms,cue_audio_stop_global_ms,stimulus_color,stimulus_shape,stimulus_identity,trial_transition,previous_rule,current_rule,cue_to_first_response_ms,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,repeated_audio_once_in_practice,termination_reason,terminal_span_length,set_size,trial_type,probe_index,probe_position_xy,item_positions,item_colors_memory,item_colors_test,probe_original_color,probe_test_color,response_key,response_label,layout_generation_attempts,overlap_check_passed
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,1,1,practice,practice_single,1779263294,240.492,2026-05-20T15:48:51.189,0,0,0,1,34765.752,34783.191,practice_single,right,none,>,j,s,0,1667.038,36546.129,incorrect,,34865.752,34879.091,36546.129,3000,1667.038,37146.129,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 34765.752, ""actual_onset_global_ms"": 34783.191, ""actual_offset_global_ms"": 34875.114, ""actual_duration_ms"": 91.923}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 34865.752, ""actual_onset_global_ms"": 34879.091, ""actual_offset_global_ms"": 36546.129, ""actual_duration_ms"": 1667.038}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 36546.129, ""actual_onset_global_ms"": 36573.518, ""actual_offset_global_ms"": 37173.422, ""actual_duration_ms"": 599.904}]",incorrect.wav,36566.357,600.0,37166.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,2,2,practice,practice_single,1779263294,240.492,2026-05-20T15:48:53.595,0,0,0,1,37171.169,37175.3,practice_single,left,none,<,s,s,1,7882.09,45161.057,correct,,37271.169,37278.967,45161.057,3000,7882.09,45761.057,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 37171.169, ""actual_onset_global_ms"": 37175.3, ""actual_offset_global_ms"": 37278.569, ""actual_duration_ms"": 103.269}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 37271.169, ""actual_onset_global_ms"": 37278.967, ""actual_offset_global_ms"": 45161.057, ""actual_duration_ms"": 7882.09}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 45161.057, ""actual_onset_global_ms"": 45191.539, ""actual_offset_global_ms"": 45791.337, ""actual_duration_ms"": 599.798}]",correct.wav,45185.217,600.0,45785.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,3,3,practice,practice_single,1779263294,240.492,2026-05-20T15:49:02.213,0,0,0,1,45789.315,45795.344,practice_single,right,none,>,j,j,1,2989.446,48886.114,correct,,45889.315,45896.668,48886.114,3000,2989.446,49486.114,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 45789.315, ""actual_onset_global_ms"": 45795.344, ""actual_offset_global_ms"": 45896.306, ""actual_duration_ms"": 100.962}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 45889.315, ""actual_onset_global_ms"": 45896.668, ""actual_offset_global_ms"": 48886.114, ""actual_duration_ms"": 2989.446}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 48886.114, ""actual_onset_global_ms"": 48905.716, ""actual_offset_global_ms"": 49506.67, ""actual_duration_ms"": 600.954}]",correct.wav,48901.407,600.0,49501.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,4,4,practice,practice_single,1779263294,240.492,2026-05-20T15:49:05.928,0,0,0,1,49504.396,49508.753,practice_single,left,none,<,s,s,1,2602.962,52212.026,correct,,49604.396,49609.064,52212.026,3000,2602.962,52812.026,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 49504.396, ""actual_onset_global_ms"": 49508.753, ""actual_offset_global_ms"": 49608.874, ""actual_duration_ms"": 100.121}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 49604.396, ""actual_onset_global_ms"": 49609.064, ""actual_offset_global_ms"": 52212.026, ""actual_duration_ms"": 2602.962}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 52212.026, ""actual_onset_global_ms"": 52249.994, ""actual_offset_global_ms"": 52852.745, ""actual_duration_ms"": 602.751}]",correct.wav,52245.527,600.0,52845.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,5,5,practice,practice_single,1779263294,240.492,2026-05-20T15:49:09.274,0,0,0,1,52850.55,52855.999,practice_single,left,none,<,s,s,1,2491.728,55450.217,correct,,52950.55,52958.489,55450.217,3000,2491.728,56050.217,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 52850.55, ""actual_onset_global_ms"": 52855.999, ""actual_offset_global_ms"": 52956.867, ""actual_duration_ms"": 100.868}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 52950.55, ""actual_onset_global_ms"": 52958.489, ""actual_offset_global_ms"": 55450.217, ""actual_duration_ms"": 2491.728}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 55450.217, ""actual_onset_global_ms"": 55484.13, ""actual_offset_global_ms"": 56086.022, ""actual_duration_ms"": 601.892}]",correct.wav,55480.223,600.0,56080.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,6,6,practice,practice_single,1779263294,240.492,2026-05-20T15:49:12.508,0,0,0,1,56084.003,56088.115,practice_single,right,none,>,j,j,1,2507.795,58701.675,correct,,56184.003,56193.88,58701.675,3000,2507.795,59301.675,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 56084.003, ""actual_onset_global_ms"": 56088.115, ""actual_offset_global_ms"": 56192.097, ""actual_duration_ms"": 103.982}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 56184.003, ""actual_onset_global_ms"": 56193.88, ""actual_offset_global_ms"": 58701.675, ""actual_duration_ms"": 2507.795}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 58701.675, ""actual_onset_global_ms"": 58721.438, ""actual_offset_global_ms"": 59322.714, ""actual_duration_ms"": 601.276}]",correct.wav,58717.343,600.0,59317.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,1,7,practice,incongruent,1779263294,240.492,2026-05-20T15:49:30.645,0,0,0,1,74220.848,74227.106,incongruent,right,left,<<><<,j,s,0,7765.611,82093.616,incorrect,1.0,74320.848,74328.005,82093.616,3000,7765.611,82693.616,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 74220.848, ""actual_onset_global_ms"": 74227.106, ""actual_offset_global_ms"": 74326.758, ""actual_duration_ms"": 99.652}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 74320.848, ""actual_onset_global_ms"": 74328.005, ""actual_offset_global_ms"": 82093.616, ""actual_duration_ms"": 7765.611}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 82093.616, ""actual_onset_global_ms"": 82100.353, ""actual_offset_global_ms"": 82702.777, ""actual_duration_ms"": 602.424}]",incorrect.wav,82096.194,600.0,82696.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,2,8,practice,incongruent,1779263294,240.492,2026-05-20T15:49:39.124,0,0,0,1,82700.661,82706.398,incongruent,left,right,>><>>,s,s,1,2959.941,85769.99,correct,1.0,82800.661,82810.049,85769.99,3000,2959.941,86369.99,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 82700.661, ""actual_onset_global_ms"": 82706.398, ""actual_offset_global_ms"": 82808.321, ""actual_duration_ms"": 101.923}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 82800.661, ""actual_onset_global_ms"": 82810.049, ""actual_offset_global_ms"": 85769.99, ""actual_duration_ms"": 2959.941}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 85769.99, ""actual_onset_global_ms"": 85780.723, ""actual_offset_global_ms"": 86381.685, ""actual_duration_ms"": 600.962}]",correct.wav,85775.016,600.0,86375.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,3,9,practice,congruent,1779263294,240.492,2026-05-20T15:49:42.803,0,0,0,1,86379.761,86383.986,congruent,right,right,>>>>>,j,j,1,4089.175,90575.503,correct,1.0,86479.761,86486.328,90575.503,3000,4089.175,91175.503,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 86379.761, ""actual_onset_global_ms"": 86383.986, ""actual_offset_global_ms"": 86484.445, ""actual_duration_ms"": 100.459}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 86479.761, ""actual_onset_global_ms"": 86486.328, ""actual_offset_global_ms"": 90575.503, ""actual_duration_ms"": 4089.175}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 90575.503, ""actual_onset_global_ms"": 90585.972, ""actual_offset_global_ms"": 91189.222, ""actual_duration_ms"": 603.25}]",correct.wav,90581.479,600.0,91181.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,4,10,practice,congruent,1779263294,240.492,2026-05-20T15:49:47.611,0,0,0,1,91187.148,91192.603,congruent,left,left,<<<<<,s,s,1,2582.391,93875.729,correct,1.0,91287.148,91293.338,93875.729,3000,2582.391,94475.729,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 91187.148, ""actual_onset_global_ms"": 91192.603, ""actual_offset_global_ms"": 91291.683, ""actual_duration_ms"": 99.08}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 91287.148, ""actual_onset_global_ms"": 91293.338, ""actual_offset_global_ms"": 93875.729, ""actual_duration_ms"": 2582.391}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 93875.729, ""actual_onset_global_ms"": 93880.696, ""actual_offset_global_ms"": 94481.851, ""actual_duration_ms"": 601.155}]",correct.wav,93876.12,600.0,94476.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,5,11,practice,congruent,1779263294,240.492,2026-05-20T15:49:50.903,0,0,0,1,94479.838,94483.98,congruent,left,left,<<<<<,s,s,1,7462.997,102049.171,correct,1.0,94579.838,94586.174,102049.171,3000,7462.997,102649.171,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 94479.838, ""actual_onset_global_ms"": 94483.98, ""actual_offset_global_ms"": 94584.855, ""actual_duration_ms"": 100.875}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 94579.838, ""actual_onset_global_ms"": 94586.174, ""actual_offset_global_ms"": 102049.171, ""actual_duration_ms"": 7462.997}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 102049.171, ""actual_onset_global_ms"": 102058.139, ""actual_offset_global_ms"": 102660.417, ""actual_duration_ms"": 602.278}]",correct.wav,102053.773,600.0,102653.773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,6,12,practice,incongruent,1779263294,240.492,2026-05-20T15:49:59.082,0,0,0,1,102658.39,102663.779,incongruent,right,left,<<><<,j,j,1,3082.399,105847.306,correct,1.0,102758.39,102764.907,105847.306,3000,3082.399,106447.306,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 102658.39, ""actual_onset_global_ms"": 102663.779, ""actual_offset_global_ms"": 102763.67, ""actual_duration_ms"": 99.891}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 102758.39, ""actual_onset_global_ms"": 102764.907, ""actual_offset_global_ms"": 105847.306, ""actual_duration_ms"": 3082.399}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 105847.306, ""actual_onset_global_ms"": 105858.446, ""actual_offset_global_ms"": 106460.467, ""actual_duration_ms"": 602.021}]",correct.wav,105853.645,600.0,106453.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,1,13,formal,incongruent,1779263294,240.492,2026-05-20T15:50:08.241,0,0,0,1,111817.097,111823.347,incongruent,left,right,>><>>,s,j,0,9176.035,121102.166,none,,111917.097,111926.131,121102.166,3000,9176.035,121102.166,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 111817.097, ""actual_onset_global_ms"": 111823.347, ""actual_offset_global_ms"": 111924.078, ""actual_duration_ms"": 100.731}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 111917.097, ""actual_onset_global_ms"": 111926.131, ""actual_offset_global_ms"": 121102.166, ""actual_duration_ms"": 9176.035}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
