participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,dccs_support_rule,dccs_error_type,dccs_dimension_highlight_used,dccs_demo_type,dccs_label_mode,dccs_post_support_rule_confusion,intended_trial_start_ms,actual_trial_start_ms,rule,cue_audio_file,cue_label,cue_audio_start_global_ms,cue_audio_expected_duration_ms,cue_audio_stop_global_ms,stimulus_color,stimulus_shape,stimulus_identity,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,trial_transition,previous_rule,current_rule,practice_pass_flag,cue_to_first_response_ms,feedback_type,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,1,1,practice,color,1779263294,240.492,2026-05-20T15:52:02.292,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,225869.243,225921.583,color,cue_color.wav,颜色,225985.232,500,226681.831,red,boat,red_boat,j,j,1,5690.907,232299.881,practice,,color,1.0,6314.767,correct,correct.wav,232305.013,150.0,232805.013,226469.243,226608.974,232299.881,3000,5690.907,232449.881,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 225869.243, ""actual_onset_global_ms"": 225921.583, ""actual_offset_global_ms"": 225980.407, ""actual_duration_ms"": 58.824}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 225969.243, ""actual_onset_global_ms"": 225985.114, ""actual_offset_global_ms"": 226608.636, ""actual_duration_ms"": 623.522}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 226469.243, ""actual_onset_global_ms"": 226608.974, ""actual_offset_global_ms"": 232299.881, ""actual_duration_ms"": 5690.907}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 232299.881, ""actual_onset_global_ms"": 232311.606, ""actual_offset_global_ms"": 232459.953, ""actual_duration_ms"": 148.347}]"
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,2,2,practice,color,1779263294,240.492,2026-05-20T15:52:08.882,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,232458.379,232462.989,color,cue_color.wav,颜色,232569.889,500,233266.488,blue,rabbit,blue_rabbit,s,s,1,1877.852,235065.451,practice,,color,1.0,2495.654,correct,correct.wav,235066.026,150.0,235566.026,233058.379,233187.599,235065.451,3000,1877.852,235215.451,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 232458.379, ""actual_onset_global_ms"": 232462.989, ""actual_offset_global_ms"": 232568.243, ""actual_duration_ms"": 105.254}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 232558.379, ""actual_onset_global_ms"": 232569.797, ""actual_offset_global_ms"": 233187.245, ""actual_duration_ms"": 617.448}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 233058.379, ""actual_onset_global_ms"": 233187.599, ""actual_offset_global_ms"": 235065.451, ""actual_duration_ms"": 1877.852}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 235065.451, ""actual_onset_global_ms"": 235070.45, ""actual_offset_global_ms"": 235223.515, ""actual_duration_ms"": 153.065}]"
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,3,3,practice,color,1779263294,240.492,2026-05-20T15:52:11.646,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,235221.988,235228.832,color,cue_color.wav,颜色,235328.744,500,236025.343,red,rabbit,red_rabbit,j,j,1,1798.083,237713.139,practice,,color,1.0,2384.489,correct,correct.wav,237717.629,150.0,238217.629,235821.988,235915.056,237713.139,3000,1798.083,237863.139,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 235221.988, ""actual_onset_global_ms"": 235228.832, ""actual_offset_global_ms"": 235327.491, ""actual_duration_ms"": 98.659}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 235321.988, ""actual_onset_global_ms"": 235328.65, ""actual_offset_global_ms"": 235914.902, ""actual_duration_ms"": 586.252}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 235821.988, ""actual_onset_global_ms"": 235915.056, ""actual_offset_global_ms"": 237713.139, ""actual_duration_ms"": 1798.083}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 237713.139, ""actual_onset_global_ms"": 237721.724, ""actual_offset_global_ms"": 237876.029, ""actual_duration_ms"": 154.305}]"
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,4,4,practice,color,1779263294,240.492,2026-05-20T15:52:14.298,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,237874.128,237880.38,color,cue_color.wav,颜色,237980.737,500,238677.336,blue,rabbit,blue_rabbit,s,s,1,2037.361,240617.747,practice,,color,1.0,2637.478,correct,correct.wav,240618.852,150.0,241118.852,238474.128,238580.386,240617.747,3000,2037.361,240767.747,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 237874.128, ""actual_onset_global_ms"": 237880.38, ""actual_offset_global_ms"": 237979.64, ""actual_duration_ms"": 99.26}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 237974.128, ""actual_onset_global_ms"": 237980.269, ""actual_offset_global_ms"": 238580.092, ""actual_duration_ms"": 599.823}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 238474.128, ""actual_onset_global_ms"": 238580.386, ""actual_offset_global_ms"": 240617.747, ""actual_duration_ms"": 2037.361}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 240617.747, ""actual_onset_global_ms"": 240623.222, ""actual_offset_global_ms"": 240776.106, ""actual_duration_ms"": 152.884}]"
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,5,5,practice,color,1779263294,240.492,2026-05-20T15:52:17.198,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,240774.447,240778.89,color,cue_color.wav,颜色,240882.918,500,241579.517,red,boat,red_boat,j,j,1,2230.703,243713.123,practice,,color,1.0,2830.304,correct,correct.wav,243714.212,150.0,244214.212,241374.447,241482.42,243713.123,3000,2230.703,243863.123,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 240774.447, ""actual_onset_global_ms"": 240778.89, ""actual_offset_global_ms"": 240880.795, ""actual_duration_ms"": 101.905}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 240874.447, ""actual_onset_global_ms"": 240882.819, ""actual_offset_global_ms"": 241482.415, ""actual_duration_ms"": 599.596}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 241374.447, ""actual_onset_global_ms"": 241482.42, ""actual_offset_global_ms"": 243713.123, ""actual_duration_ms"": 2230.703}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 243713.123, ""actual_onset_global_ms"": 243718.752, ""actual_offset_global_ms"": 243871.25, ""actual_duration_ms"": 152.498}]"
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,6,6,practice,color,1779263294,240.492,2026-05-20T15:52:20.293,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,243869.409,243874.797,color,cue_color.wav,颜色,243974.754,500,244671.353,blue,boat,blue_boat,s,s,1,1630.116,246182.939,practice,,color,1.0,2208.298,correct,correct.wav,246185.11,150.0,246685.11,244469.409,244552.823,246182.939,3000,1630.116,246332.939,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 243869.409, ""actual_onset_global_ms"": 243874.797, ""actual_offset_global_ms"": 243974.049, ""actual_duration_ms"": 99.252}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 243969.409, ""actual_onset_global_ms"": 243974.641, ""actual_offset_global_ms"": 244552.884, ""actual_duration_ms"": 578.243}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 244469.409, ""actual_onset_global_ms"": 244552.823, ""actual_offset_global_ms"": 246182.939, ""actual_duration_ms"": 1630.116}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 246182.939, ""actual_onset_global_ms"": 246189.648, ""actual_offset_global_ms"": 246341.751, ""actual_duration_ms"": 152.103}]"
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,1,7,practice,shape,1779263294,240.492,2026-05-20T15:52:36.166,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,259743.228,259751.545,shape,cue_shape.wav,形状,259854.032,500,260620.29,blue,boat,blue_boat,j,j,1,2343.297,262828.858,practice,,shape,1.0,2974.942,correct,correct.wav,262833.767,150.0,263333.767,260343.228,260485.561,262828.858,3000,2343.297,262978.858,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 259743.228, ""actual_onset_global_ms"": 259751.545, ""actual_offset_global_ms"": 259850.034, ""actual_duration_ms"": 98.489}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 259843.228, ""actual_onset_global_ms"": 259853.916, ""actual_offset_global_ms"": 260485.173, ""actual_duration_ms"": 631.257}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 260343.228, ""actual_onset_global_ms"": 260485.561, ""actual_offset_global_ms"": 262828.858, ""actual_duration_ms"": 2343.297}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 262828.858, ""actual_onset_global_ms"": 262838.502, ""actual_offset_global_ms"": 262991.414, ""actual_duration_ms"": 152.912}]"
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,2,8,practice,shape,1779263294,240.492,2026-05-20T15:52:39.414,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,262989.761,262997.169,shape,cue_shape.wav,形状,263095.895,500,263862.153,blue,rabbit,blue_rabbit,s,s,1,1932.444,265669.483,practice,,shape,1.0,2573.874,correct,correct.wav,265674.127,150.0,266174.127,263589.761,263737.039,265669.483,3000,1932.444,265819.483,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 262989.761, ""actual_onset_global_ms"": 262997.169, ""actual_offset_global_ms"": 263094.101, ""actual_duration_ms"": 96.932}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 263089.761, ""actual_onset_global_ms"": 263095.609, ""actual_offset_global_ms"": 263736.362, ""actual_duration_ms"": 640.753}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 263589.761, ""actual_onset_global_ms"": 263737.039, ""actual_offset_global_ms"": 265669.483, ""actual_duration_ms"": 1932.444}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 265669.483, ""actual_onset_global_ms"": 265678.988, ""actual_offset_global_ms"": 265829.903, ""actual_duration_ms"": 150.915}]"
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,3,9,practice,shape,1779263294,240.492,2026-05-20T15:52:42.252,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,265828.288,265833.753,shape,cue_shape.wav,形状,265933.906,500,266700.164,blue,rabbit,blue_rabbit,s,s,1,3349.669,269917.032,practice,,shape,1.0,3983.226,correct,correct.wav,269919.054,150.0,270419.054,266428.288,266567.363,269917.032,3000,3349.669,270067.032,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 265828.288, ""actual_onset_global_ms"": 265833.753, ""actual_offset_global_ms"": 265932.506, ""actual_duration_ms"": 98.753}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 265928.288, ""actual_onset_global_ms"": 265933.806, ""actual_offset_global_ms"": 266566.551, ""actual_duration_ms"": 632.745}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 266428.288, ""actual_onset_global_ms"": 266567.363, ""actual_offset_global_ms"": 269917.032, ""actual_duration_ms"": 3349.669}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 269917.032, ""actual_onset_global_ms"": 269923.614, ""actual_offset_global_ms"": 270076.447, ""actual_duration_ms"": 152.833}]"
050,050_T1_20260520_154814,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,4,10,practice,shape,1779263294,240.492,2026-05-20T15:52:46.498,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,270074.967,270081.273,shape,cue_shape.wav,形状,270182.625,500,270948.883,red,boat,red_boat,j,j,1,3331.749,274157.209,practice,,shape,1.0,3974.686,correct,correct.wav,274162.1,150.0,274662.1,270674.967,270825.46,274157.209,3000,3331.749,274307.209,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 270074.967, ""actual_onset_global_ms"": 270081.273, ""actual_offset_global_ms"": 270180.928, ""actual_duration_ms"": 99.655}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 270174.967, ""actual_onset_global_ms"": 270182.523, ""actual_offset_global_ms"": 270824.98, ""actual_duration_ms"": 642.457}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 270674.967, ""actual_onset_global_ms"": 270825.46, ""actual_offset_global_ms"": 274157.209, ""actual_duration_ms"": 3331.749}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 274157.209, ""actual_onset_global_ms"": 274166.707, ""actual_offset_global_ms"": 274321.183, ""actual_duration_ms"": 154.476}]"
