participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,dccs_support_rule,dccs_error_type,dccs_dimension_highlight_used,dccs_demo_type,dccs_label_mode,dccs_post_support_rule_confusion,rule,cue_audio_file,cue_label,cue_audio_start_global_ms,cue_audio_expected_duration_ms,cue_audio_stop_global_ms,stimulus_color,stimulus_shape,stimulus_identity,trial_transition,previous_rule,current_rule,cue_to_first_response_ms,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,repeated_audio_once_in_practice,termination_reason,terminal_span_length,set_size,trial_type,probe_index,probe_position_xy,item_positions,item_colors_memory,item_colors_test,probe_original_color,probe_test_color,response_key,response_label,layout_generation_attempts,overlap_check_passed
051,051_T1_20260518_152723,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,1,1,practice,practice_single,1779089243,239.94,2026-05-18T15:27:36.732,0,0,0,1,10703.243,10721.366,practice_single,right,none,>,j,j,1,10110.455,20927.606,correct,,10803.243,10817.151,20927.606,3000,10110.455,21527.606,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 10703.243, ""actual_onset_global_ms"": 10721.366, ""actual_offset_global_ms"": 10812.455, ""actual_duration_ms"": 91.089}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 10803.243, ""actual_onset_global_ms"": 10817.151, ""actual_offset_global_ms"": 20927.606, ""actual_duration_ms"": 10110.455}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 20927.606, ""actual_onset_global_ms"": 20941.946, ""actual_offset_global_ms"": 21540.91, ""actual_duration_ms"": 598.964}]",correct.wav,20934.701,600.0,21534.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051,051_T1_20260518_152723,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,2,2,practice,practice_single,1779089243,239.94,2026-05-18T15:27:47.567,0,0,0,1,21539.06,21543.487,practice_single,left,none,<,s,s,1,2085.686,23733.285,correct,,21639.06,21647.599,23733.285,3000,2085.686,24333.285,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 21539.06, ""actual_onset_global_ms"": 21543.487, ""actual_offset_global_ms"": 21647.225, ""actual_duration_ms"": 103.738}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 21639.06, ""actual_onset_global_ms"": 21647.599, ""actual_offset_global_ms"": 23733.285, ""actual_duration_ms"": 2085.686}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 23733.285, ""actual_onset_global_ms"": 23742.024, ""actual_offset_global_ms"": 24342.77, ""actual_duration_ms"": 600.746}]",correct.wav,23737.285,600.0,24337.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051,051_T1_20260518_152723,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,3,3,practice,practice_single,1779089243,239.94,2026-05-18T15:27:50.369,0,0,0,1,24340.466,24347.448,practice_single,left,none,<,s,s,1,970.786,25418.07,correct,,24440.466,24447.284,25418.07,3000,970.786,26018.07,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 24340.466, ""actual_onset_global_ms"": 24347.448, ""actual_offset_global_ms"": 24445.97, ""actual_duration_ms"": 98.522}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 24440.466, ""actual_onset_global_ms"": 24447.284, ""actual_offset_global_ms"": 25418.07, ""actual_duration_ms"": 970.786}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 25418.07, ""actual_onset_global_ms"": 25426.677, ""actual_offset_global_ms"": 26027.68, ""actual_duration_ms"": 601.003}]",correct.wav,25422.251,600.0,26022.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051,051_T1_20260518_152723,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,4,4,practice,practice_single,1779089243,239.94,2026-05-18T15:27:52.054,0,0,0,1,26025.527,26029.741,practice_single,left,none,<,s,s,1,715.534,26845.979,correct,,26125.527,26130.445,26845.979,3000,715.534,27445.979,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 26025.527, ""actual_onset_global_ms"": 26029.741, ""actual_offset_global_ms"": 26129.888, ""actual_duration_ms"": 100.147}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 26125.527, ""actual_onset_global_ms"": 26130.445, ""actual_offset_global_ms"": 26845.979, ""actual_duration_ms"": 715.534}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 26845.979, ""actual_onset_global_ms"": 26858.603, ""actual_offset_global_ms"": 27458.295, ""actual_duration_ms"": 599.692}]",correct.wav,26853.65,600.0,27453.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051,051_T1_20260518_152723,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,5,5,practice,practice_single,1779089243,239.94,2026-05-18T15:27:53.484,0,0,0,1,27456.478,27461.967,practice_single,right,none,>,j,j,1,647.246,28210.462,correct,,27556.478,27563.216,28210.462,3000,647.246,28810.462,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 27456.478, ""actual_onset_global_ms"": 27461.967, ""actual_offset_global_ms"": 27562.12, ""actual_duration_ms"": 100.153}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 27556.478, ""actual_onset_global_ms"": 27563.216, ""actual_offset_global_ms"": 28210.462, ""actual_duration_ms"": 647.246}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 28210.462, ""actual_onset_global_ms"": 28222.155, ""actual_offset_global_ms"": 28823.931, ""actual_duration_ms"": 601.776}]",correct.wav,28217.498,600.0,28817.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051,051_T1_20260518_152723,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_single,practice,1,6,6,practice,practice_single,1779089243,239.94,2026-05-18T15:27:54.850,0,0,0,1,28821.83,28826.062,practice_single,right,none,>,j,j,1,786.982,29716.198,correct,,28921.83,28929.216,29716.198,3000,786.982,30316.198,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 28821.83, ""actual_onset_global_ms"": 28826.062, ""actual_offset_global_ms"": 28928.23, ""actual_duration_ms"": 102.168}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 28921.83, ""actual_onset_global_ms"": 28929.216, ""actual_offset_global_ms"": 29716.198, ""actual_duration_ms"": 786.982}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 29716.198, ""actual_onset_global_ms"": 29732.738, ""actual_offset_global_ms"": 30334.451, ""actual_duration_ms"": 601.713}]",correct.wav,29727.982,600.0,30327.982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051,051_T1_20260518_152723,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,1,7,practice,incongruent,1779089243,239.94,2026-05-18T15:27:58.946,0,0,0,1,32918.768,32925.689,incongruent,right,left,<<><<,j,j,1,6022.759,39049.141,correct,1.0,33018.768,33026.382,39049.141,3000,6022.759,39649.141,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 32918.768, ""actual_onset_global_ms"": 32925.689, ""actual_offset_global_ms"": 33024.884, ""actual_duration_ms"": 99.195}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 33018.768, ""actual_onset_global_ms"": 33026.382, ""actual_offset_global_ms"": 39049.141, ""actual_duration_ms"": 6022.759}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 39049.141, ""actual_onset_global_ms"": 39066.473, ""actual_offset_global_ms"": 39667.766, ""actual_duration_ms"": 601.293}]",correct.wav,39061.256,600.0,39661.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051,051_T1_20260518_152723,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,2,8,practice,congruent,1779089243,239.94,2026-05-18T15:28:05.694,0,0,0,1,39665.658,39671.267,congruent,right,right,>>>>>,j,j,1,782.573,40555.532,correct,1.0,39765.658,39772.959,40555.532,3000,782.573,41155.532,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 39665.658, ""actual_onset_global_ms"": 39671.267, ""actual_offset_global_ms"": 39771.619, ""actual_duration_ms"": 100.352}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 39765.658, ""actual_onset_global_ms"": 39772.959, ""actual_offset_global_ms"": 40555.532, ""actual_duration_ms"": 782.573}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 40555.532, ""actual_onset_global_ms"": 40572.433, ""actual_offset_global_ms"": 41174.718, ""actual_duration_ms"": 602.285}]",correct.wav,40567.582,600.0,41167.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051,051_T1_20260518_152723,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,3,9,practice,congruent,1779089243,239.94,2026-05-18T15:28:07.201,0,0,0,1,41172.824,41177.017,congruent,left,left,<<<<<,s,s,1,911.965,42191.568,correct,1.0,41272.824,41279.603,42191.568,3000,911.965,42791.568,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 41172.824, ""actual_onset_global_ms"": 41177.017, ""actual_offset_global_ms"": 41278.285, ""actual_duration_ms"": 101.268}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 41272.824, ""actual_onset_global_ms"": 41279.603, ""actual_offset_global_ms"": 42191.568, ""actual_duration_ms"": 911.965}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 42191.568, ""actual_onset_global_ms"": 42214.467, ""actual_offset_global_ms"": 42816.609, ""actual_duration_ms"": 602.142}]",correct.wav,42208.414,600.0,42808.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051,051_T1_20260518_152723,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,flanker,1,practice_full,practice,2,4,10,practice,incongruent,1779089243,239.94,2026-05-18T15:28:08.843,0,0,0,1,42814.63,42820.013,incongruent,right,left,<<><<,j,j,1,1277.185,44200.145,correct,1.0,42914.63,42922.96,44200.145,3000,1277.185,44800.145,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 42814.63, ""actual_onset_global_ms"": 42820.013, ""actual_offset_global_ms"": 42921.039, ""actual_duration_ms"": 101.026}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 42914.63, ""actual_onset_global_ms"": 42922.96, ""actual_offset_global_ms"": 44200.145, ""actual_duration_ms"": 1277.185}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 600, ""intended_onset_ms"": 44200.145, ""actual_onset_global_ms"": 44223.584, ""actual_offset_global_ms"": 44825.065, ""actual_duration_ms"": 601.481}]",correct.wav,44219.228,600.0,44819.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
