global_time_ms,event_type,task_name,block_name,trial_index_global,participant_id,group,timepoint,practice_layer,telemetry_version,block_type,event_value,prompt_level,support_level,support_rule,support_trigger_reason,rule_block_error_count,support_phase,support_faded_after_trial,error_type,message
6715.551,task_start,flanker,,,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,flanker_task_start
28029.675,timing_drift,flanker,practice_single,1,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-11.739 ms
37842.226,timing_drift,flanker,practice_single,5,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-6.463 ms
121941.778,timing_drift,flanker,formal_block_1,29,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-7.208 ms
208286.21,task_end,flanker,formal_block_2,52,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,flanker_finished
209433.078,task_start,dccs,,,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,dccs_task_start
225779.602,timing_drift,dccs,pre_switch_practice,1,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-49.598 ms
376620.738,task_end,dccs,mixed_formal,42,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,dccs_finished
377897.251,task_start,digit_span,,,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,digit_span_task_start
400943.758,timing_drift,digit_span,practice_digitspan,1,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-11.739 ms
403039.143,timing_drift,digit_span,practice_digitspan,1,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,wait drift=-11.834 ms
422490.03,timing_drift,digit_span,practice_digitspan,2,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-11.991 ms
468676.764,timing_drift,digit_span,practice_digitspan,3,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-13.527 ms
497497.807,timing_drift,digit_span,practice_digitspan,4,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-12.048 ms
530664.509,timing_drift,digit_span,practice_digitspan,5,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-16.126 ms
564615.167,timing_drift,digit_span,practice_digitspan,6,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-15.962 ms
604115.555,timing_drift,digit_span,formal_span_2,7,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-8.245 ms
732370.999,timing_drift,digit_span,formal_span_2,8,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-10.892 ms
777075.046,task_end,digit_span,formal_span_2,8,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,digit_span_finished
778474.549,task_start,change_detection,,,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,change_detection_task_start
797016.659,timing_drift,change_detection,practice_cd,1,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-6.846 ms
815407.737,timing_drift,change_detection,practice_cd,4,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-7.685 ms
818017.429,timing_drift,change_detection,practice_cd,5,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,memory_array drift=-19.743 ms
827537.391,timing_drift,change_detection,practice_cd,6,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,memory_array drift=-20.153 ms
834100.816,timing_drift,change_detection,practice_cd,6,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-7.051 ms
842207.522,timing_drift,change_detection,practice_cd,8,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,memory_array drift=-11.727 ms
861796.363,timing_drift,change_detection,practice_cd,10,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,memory_array drift=-11.495 ms
867228.093,timing_drift,change_detection,practice_cd,11,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,memory_array drift=-7.988 ms
876207.643,timing_drift,change_detection,practice_cd,12,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,memory_array drift=-8.259 ms
905769.921,timing_drift,change_detection,formal_cd,17,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,memory_array drift=-16.544 ms
919830.495,timing_drift,change_detection,formal_cd,18,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,memory_array drift=-23.835 ms
930868.024,timing_drift,change_detection,formal_cd,19,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,memory_array drift=-27.487 ms
935267.753,timing_drift,change_detection,formal_cd,20,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,memory_array drift=-23.723 ms
940228.947,timing_drift,change_detection,formal_cd,21,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,memory_array drift=-16.550 ms
946502.136,timing_drift,change_detection,formal_cd,22,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,memory_array drift=-15.624 ms
952275.454,timing_drift,change_detection,formal_cd,23,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,memory_array drift=-11.605 ms
959209.37,timing_drift,change_detection,formal_cd,24,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,memory_array drift=-11.287 ms
965851.273,timing_drift,change_detection,formal_cd,25,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,memory_array drift=-27.685 ms
971888.694,timing_drift,change_detection,formal_cd,26,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,memory_array drift=-27.829 ms
975842.793,timing_drift,change_detection,formal_cd,27,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,memory_array drift=-19.445 ms
986763.733,timing_drift,change_detection,formal_cd,29,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,memory_array drift=-16.993 ms
991688.688,timing_drift,change_detection,formal_cd,30,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,memory_array drift=-27.926 ms
993637.624,timing_drift,change_detection,formal_cd,31,052,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=8.959 ms
