global_time_ms,event_type,task_name,block_name,trial_index_global,participant_id,group,timepoint,practice_layer,telemetry_version,block_type,event_value,prompt_level,support_level,support_rule,support_trigger_reason,rule_block_error_count,support_phase,support_faded_after_trial,error_type,message
5662.807,task_start,flanker,,,056,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,flanker_task_start
41393.597,timing_drift,flanker,practice_single,1,056,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-73.816 ms
52288.534,timing_drift,flanker,practice_single,1,056,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-26.082 ms
59442.65,timing_drift,flanker,practice_single,2,056,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-35.555 ms
64108.651,timing_drift,flanker,practice_single,5,056,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-12.784 ms
502335.533,task_end,flanker,formal_block_2,64,056,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,flanker_finished
505582.932,task_start,dccs,,,056,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,dccs_task_start
528303.387,timing_drift,dccs,pre_switch_practice,1,056,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-91.667 ms
535464.325,info,dccs,color_adaptive_support,1,056,PA,T1,adaptive,telemetry_v4,practice,criterion_not_reached,1,1,color,criterion_not_reached,1,brief_rule_prompt,,,dccs_support_level_1:color:criterion_not_reached
542454.206,timing_drift,dccs,pre_switch_practice,2,056,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-15.130 ms
542461.97,info,dccs,pre_switch_practice,2,056,PA,T1,adaptive,telemetry_v4,practice,recovered,,1,color,criterion_not_reached,,,True,,dccs_support_recovered:color:criterion_not_reached
558267.096,timing_drift,dccs,pre_switch_practice,6,056,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-14.507 ms
581106.323,timing_drift,dccs,post_switch_practice,7,056,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-12.893 ms
616509.572,timing_drift,dccs,mixed_formal,13,056,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-16.119 ms
693876.348,timing_drift,dccs,mixed_formal,35,056,PA,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-15.887 ms
