global_time_ms,event_type,task_name,block_name,trial_index_global,participant_id,group,timepoint,practice_layer,telemetry_version,block_type,event_value,prompt_level,support_level,support_rule,support_trigger_reason,rule_block_error_count,support_phase,support_faded_after_trial,error_type,message
4626.989,task_start,flanker,,,056,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,flanker_task_start
25493.816,timing_drift,flanker,practice_single,1,056,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-20.570 ms
37871.47,timing_drift,flanker,practice_single,1,056,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-20.137 ms
53105.963,timing_drift,flanker,practice_single,5,056,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-13.154 ms
65084.599,timing_drift,flanker,practice_full,7,056,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-17.444 ms
106408.897,timing_drift,flanker,formal_block_1,19,056,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-15.526 ms
119873.144,timing_drift,flanker,formal_block_1,32,056,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-18.158 ms
139652.167,timing_drift,flanker,formal_block_2,50,056,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-17.819 ms
145340.092,task_end,flanker,formal_block_2,52,056,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,flanker_finished
147363.934,task_start,dccs,,,056,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,dccs_task_start
175566.222,timing_drift,dccs,pre_switch_practice,1,056,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-91.471 ms
178534.92,timing_drift,dccs,pre_switch_practice,1,056,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-18.033 ms
178667.834,timing_drift,dccs,pre_switch_practice,2,056,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-12.921 ms
183699.057,timing_drift,dccs,pre_switch_practice,3,056,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-13.855 ms
188403.626,timing_drift,dccs,pre_switch_practice,5,056,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,feedback drift=-13.847 ms
193377.166,timing_drift,dccs,post_switch_practice,7,056,Control,T1,adaptive,telemetry_v4,,,,,,,,,,,fixation drift=-15.710 ms
199609.044,info,dccs,shape_adaptive_support,7,056,Control,T1,adaptive,telemetry_v4,practice,criterion_not_reached,1,1,shape,criterion_not_reached,1,brief_rule_prompt,,,dccs_support_level_1:shape:criterion_not_reached
206624.841,info,dccs,post_switch_practice,8,056,Control,T1,adaptive,telemetry_v4,practice,recovered,,1,shape,criterion_not_reached,,,True,,dccs_support_recovered:shape:criterion_not_reached
