participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,set_size,trial_type,probe_index,probe_position_xy,item_positions,item_colors_memory,item_colors_test,probe_original_color,probe_test_color,response_key,response_label,correct_response_key,accuracy,response_correct,rt_ms,feedback_type,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,layout_generation_attempts,overlap_check_passed,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,practice_pass_flag
056,056_T1_20260520_154937,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,1,1,practice,N2_change,1779263377,117.245,2026-05-20T16:00:14.101,0,0,0,1,631924.936,631954.691,2,change,1,"[228.62, -44.37]","[[-116.17, -146.12], [228.62, -44.37]]","[""purple"", ""blue""]","[""purple"", ""green""]",blue,green,j,change,j,1,1,5321.765,correct,correct.wav,641022.909,150.0,641522.909,2,1,635524.936,635678.757,641022.616,4000,5343.859,641172.616,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 631924.936, ""actual_onset_global_ms"": 631954.691, ""actual_offset_global_ms"": 632037.019, ""actual_duration_ms"": 82.328}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 632024.936, ""actual_onset_global_ms"": 632113.815, ""actual_offset_global_ms"": 634616.55, ""actual_duration_ms"": 2502.735}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 634616.55, ""actual_onset_global_ms"": 634620.776, ""actual_offset_global_ms"": 635620.615, ""actual_duration_ms"": 999.839}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 635620.615, ""actual_onset_global_ms"": 635678.757, ""actual_offset_global_ms"": 641022.616, ""actual_duration_ms"": 5343.859}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 641022.616, ""actual_onset_global_ms"": 641054.819, ""actual_offset_global_ms"": 641187.689, ""actual_duration_ms"": 132.87}]",1.0
056,056_T1_20260520_154937,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,2,2,practice,N1_change,1779263377,117.245,2026-05-20T16:00:23.385,0,0,0,1,641209.433,641233.679,1,change,0,"[172.41, 40.2]","[[172.41, 40.2]]","[""yellow""]","[""red""]",yellow,red,j,change,j,1,1,1114.877,correct,correct.wav,646035.224,150.0,646535.224,2,1,644809.433,644877.312,646034.909,4000,1157.597,646184.909,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 641209.433, ""actual_onset_global_ms"": 641233.679, ""actual_offset_global_ms"": 641325.437, ""actual_duration_ms"": 91.758}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 641309.433, ""actual_onset_global_ms"": 641349.872, ""actual_offset_global_ms"": 643837.111, ""actual_duration_ms"": 2487.239}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 643837.111, ""actual_onset_global_ms"": 643841.423, ""actual_offset_global_ms"": 644847.691, ""actual_duration_ms"": 1006.268}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 644847.691, ""actual_onset_global_ms"": 644877.312, ""actual_offset_global_ms"": 646034.909, ""actual_duration_ms"": 1157.597}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 646034.909, ""actual_onset_global_ms"": 646053.308, ""actual_offset_global_ms"": 646206.12, ""actual_duration_ms"": 152.812}]",1.0
056,056_T1_20260520_154937,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,3,3,practice,N1_same,1779263377,117.245,2026-05-20T16:00:28.378,0,0,0,1,646201.913,646218.579,1,same,0,"[-223.19, 53.21]","[[-223.19, 53.21]]","[""green""]","[""green""]",green,green,s,same,s,1,1,1362.755,correct,correct.wav,651272.619,150.0,651772.619,2,1,649801.913,649861.69,651272.328,4000,1410.638,651422.328,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 646201.913, ""actual_onset_global_ms"": 646218.579, ""actual_offset_global_ms"": 646312.912, ""actual_duration_ms"": 94.333}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 646301.913, ""actual_onset_global_ms"": 646339.23, ""actual_offset_global_ms"": 648828.95, ""actual_duration_ms"": 2489.72}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 648828.95, ""actual_onset_global_ms"": 648833.544, ""actual_offset_global_ms"": 649833.708, ""actual_duration_ms"": 1000.164}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 649833.708, ""actual_onset_global_ms"": 649861.69, ""actual_offset_global_ms"": 651272.328, ""actual_duration_ms"": 1410.638}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 651272.328, ""actual_onset_global_ms"": 651291.746, ""actual_offset_global_ms"": 651434.113, ""actual_duration_ms"": 142.367}]",1.0
056,056_T1_20260520_154937,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,4,4,practice,N2_same,1779263377,117.245,2026-05-20T16:00:33.606,0,0,0,1,651430.347,651453.469,2,same,1,"[-85.63, 172.89]","[[207.08, -213.25], [-85.63, 172.89]]","[""green"", ""purple""]","[""green"", ""purple""]",purple,purple,s,same,s,1,1,4456.883,correct,correct.wav,659664.739,150.0,660164.739,3,1,655030.347,655159.232,659664.436,4000,4505.204,659814.436,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 651430.347, ""actual_onset_global_ms"": 651453.469, ""actual_offset_global_ms"": 651551.372, ""actual_duration_ms"": 97.903}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 651530.347, ""actual_onset_global_ms"": 651600.642, ""actual_offset_global_ms"": 654067.548, ""actual_duration_ms"": 2466.906}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 654067.548, ""actual_onset_global_ms"": 654098.832, ""actual_offset_global_ms"": 655105.876, ""actual_duration_ms"": 1007.044}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 655105.876, ""actual_onset_global_ms"": 655159.232, ""actual_offset_global_ms"": 659664.436, ""actual_duration_ms"": 4505.204}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 659664.436, ""actual_onset_global_ms"": 659685.16, ""actual_offset_global_ms"": 659835.417, ""actual_duration_ms"": 150.257}]",1.0
056,056_T1_20260520_154937,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,5,5,practice,N1_change,1779263377,117.245,2026-05-20T16:00:42.007,0,0,0,1,659831.212,659852.196,1,change,0,"[159.15, -51.6]","[[159.15, -51.6]]","[""purple""]","[""red""]",purple,red,j,change,j,1,1,1871.32,correct,correct.wav,665411.415,150.0,665911.415,1,1,663431.212,663511.829,665410.262,4000,1898.433,665560.262,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 659831.212, ""actual_onset_global_ms"": 659852.196, ""actual_offset_global_ms"": 659944.957, ""actual_duration_ms"": 92.761}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 659931.212, ""actual_onset_global_ms"": 659969.495, ""actual_offset_global_ms"": 662472.012, ""actual_duration_ms"": 2502.517}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 662472.012, ""actual_onset_global_ms"": 662477.855, ""actual_offset_global_ms"": 663477.847, ""actual_duration_ms"": 999.992}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 663477.847, ""actual_onset_global_ms"": 663511.829, ""actual_offset_global_ms"": 665410.262, ""actual_duration_ms"": 1898.433}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 665410.262, ""actual_onset_global_ms"": 665431.062, ""actual_offset_global_ms"": 665573.848, ""actual_duration_ms"": 142.786}]",1.0
056,056_T1_20260520_154937,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,6,6,practice,N2_change,1779263377,117.245,2026-05-20T16:00:47.746,0,0,0,1,665569.944,665587.022,2,change,1,"[23.54, 188.77]","[[-101.71, 51.66], [23.54, 188.77]]","[""red"", ""purple""]","[""red"", ""yellow""]",purple,yellow,j,change,j,1,1,2369.281,correct,correct.wav,671687.206,150.0,672187.206,2,1,669169.944,669288.687,671686.923,4000,2398.236,671836.923,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 665569.944, ""actual_onset_global_ms"": 665587.022, ""actual_offset_global_ms"": 665689.228, ""actual_duration_ms"": 102.206}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 665669.944, ""actual_onset_global_ms"": 665734.626, ""actual_offset_global_ms"": 668208.132, ""actual_duration_ms"": 2473.506}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 668208.132, ""actual_onset_global_ms"": 668239.306, ""actual_offset_global_ms"": 669245.877, ""actual_duration_ms"": 1006.571}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 669245.877, ""actual_onset_global_ms"": 669288.687, ""actual_offset_global_ms"": 671686.923, ""actual_duration_ms"": 2398.236}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 671686.923, ""actual_onset_global_ms"": 671705.298, ""actual_offset_global_ms"": 671857.73, ""actual_duration_ms"": 152.432}]",1.0
056,056_T1_20260520_154937,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,7,7,practice,N2_same,1779263377,117.245,2026-05-20T16:00:54.030,0,0,0,1,671853.815,671873.232,2,same,0,"[-2.84, -204.95]","[[-2.84, -204.95], [-209.16, -88.53]]","[""purple"", ""yellow""]","[""purple"", ""yellow""]",purple,purple,j,change,s,0,0,4382.921,incorrect,incorrect.wav,679990.181,150.0,680490.181,2,1,675453.815,675561.806,679989.801,4000,4427.995,680139.801,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 671853.815, ""actual_onset_global_ms"": 671873.232, ""actual_offset_global_ms"": 671965.885, ""actual_duration_ms"": 92.653}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 671953.815, ""actual_onset_global_ms"": 672007.71, ""actual_offset_global_ms"": 674513.044, ""actual_duration_ms"": 2505.334}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 674513.044, ""actual_onset_global_ms"": 674517.632, ""actual_offset_global_ms"": 675518.611, ""actual_duration_ms"": 1000.979}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 675518.611, ""actual_onset_global_ms"": 675561.806, ""actual_offset_global_ms"": 679989.801, ""actual_duration_ms"": 4427.995}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 679989.801, ""actual_onset_global_ms"": 680020.595, ""actual_offset_global_ms"": 680156.676, ""actual_duration_ms"": 136.081}]",1.0
056,056_T1_20260520_154937,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,practice_cd,practice,1,8,8,practice,N1_same,1779263377,117.245,2026-05-20T16:01:02.355,0,0,0,1,680178.547,680195.34,1,same,0,"[169.78, 182.97]","[[169.78, 182.97]]","[""yellow""]","[""yellow""]",yellow,yellow,s,same,s,1,1,2236.218,correct,correct.wav,686139.309,150.0,686639.309,1,1,683778.547,683858.902,686139.025,4000,2280.123,686289.025,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 680178.547, ""actual_onset_global_ms"": 680195.34, ""actual_offset_global_ms"": 680288.316, ""actual_duration_ms"": 92.976}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 680278.547, ""actual_onset_global_ms"": 680312.621, ""actual_offset_global_ms"": 682817.837, ""actual_duration_ms"": 2505.216}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 682817.837, ""actual_onset_global_ms"": 682823.21, ""actual_offset_global_ms"": 683830.855, ""actual_duration_ms"": 1007.645}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 683830.855, ""actual_onset_global_ms"": 683858.902, ""actual_offset_global_ms"": 686139.025, ""actual_duration_ms"": 2280.123}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 686139.025, ""actual_onset_global_ms"": 686159.694, ""actual_offset_global_ms"": 686303.018, ""actual_duration_ms"": 143.324}]",1.0
056,056_T1_20260520_154937,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,1,9,formal,N3_same,1779263377,117.245,2026-05-20T16:01:18.616,0,0,0,1,696440.818,696463.244,3,same,2,"[-17.42, -153.97]","[[246.34, 52.05], [22.97, 158.13], [-17.42, -153.97]]","[""yellow"", ""red"", ""blue""]","[""yellow"", ""red"", ""blue""]",blue,blue,s,same,s,1,1,14477.701,,,,,,3,1,700040.818,700182.024,714713.042,4000,14531.018,714713.042,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 696440.818, ""actual_onset_global_ms"": 696463.244, ""actual_offset_global_ms"": 696550.164, ""actual_duration_ms"": 86.92}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 696540.818, ""actual_onset_global_ms"": 696657.1, ""actual_offset_global_ms"": 699090.564, ""actual_duration_ms"": 2433.464}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 699090.564, ""actual_onset_global_ms"": 699123.119, ""actual_offset_global_ms"": 700122.184, ""actual_duration_ms"": 999.065}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 700122.184, ""actual_onset_global_ms"": 700182.024, ""actual_offset_global_ms"": 714713.042, ""actual_duration_ms"": 14531.018}]",
056,056_T1_20260520_154937,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,change_detection,4,formal_cd,formal,1,2,10,formal,N2_change,1779263377,117.245,2026-05-20T16:01:36.893,0,0,0,1,714717.463,714733.885,2,change,0,"[-205.74, 39.45]","[[-205.74, 39.45], [211.36, 195.44]]","[""red"", ""blue""]","[""yellow"", ""blue""]",red,yellow,j,change,j,1,1,2145.784,,,,,,2,1,718317.463,718432.106,720610.474,4000,2178.368,720610.474,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 714717.463, ""actual_onset_global_ms"": 714733.885, ""actual_offset_global_ms"": 714827.526, ""actual_duration_ms"": 93.641}, {""stage_name"": ""memory_array"", ""planned_duration_ms"": 2500, ""intended_onset_ms"": 714817.463, ""actual_onset_global_ms"": 714868.216, ""actual_offset_global_ms"": 717376.636, ""actual_duration_ms"": 2508.42}, {""stage_name"": ""delay"", ""planned_duration_ms"": 1000, ""intended_onset_ms"": 717376.636, ""actual_onset_global_ms"": 717381.28, ""actual_offset_global_ms"": 718382.818, ""actual_duration_ms"": 1001.538}, {""stage_name"": ""test_array"", ""planned_duration_ms"": 4000, ""intended_onset_ms"": 718382.818, ""actual_onset_global_ms"": 718432.106, ""actual_offset_global_ms"": 720610.474, ""actual_duration_ms"": 2178.368}]",
